Brand,CPU,CPU_BRAND,RAM(GB),RAM_TYPE,GPU,SSD(GB),HDD(GB),USD,,Summary Statistics,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,UHD 600,0,1024,335.99,,,
Lenovo,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,336,,,
ASUS,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD 620,512,0,336.61,,,
Dell,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,337.72,,,
Lenovo,AMD Quad-Core A8 APU,AMD,8,DDR3,Radeon R7 M260,0,1024,338.28,,,
HP,AMD Quad-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,339.92,,,
HP,Intel Core i3 (6th Gen),Intel,4,DDR4,Radeon 520,0,1024,340.06,,,
AVITA,Intel Core i3 (8th Gen),Intel,4,DDR4,UHD 620,256,0,340.19,,,
Dell,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,340.91,,,
ASUS,Intel Celeron Dual-Core,Intel,4,DDR4,HD,256,0,341.58,,,
